"Name","Description","List","Labels","Due Date","Members"
"[EXT] Asignar los 7 responsables del proyecto con nombre propio","Designar por escrito: DP, T1, T2, CA, ADM, LEG. HECHO CUANDO: existe un mensaje escrito con los 7 nombres y la hora de la reunion diaria. Ref: 11_ paso 1.","🚧 Bloqueado por terceros","EXTERNO,BLOQUEANTE","2026-07-31","DP"
"[EXT] Designar decisor unico con autoridad para responder en 24 h","Persona con autoridad delegada por la Junta para resolver dudas de negocio en menos de 24 horas. Condicion dura 3 de la auditoria.","🚧 Bloqueado por terceros","EXTERNO,BLOQUEANTE","2026-07-31","DP"
"[EXT] Aprobar ADR-005 ADR-006 y ADR-009","Escaneo invertido, comportamiento sin conexion y cohortes. Silencio = aprobacion el 03/08. Ref: 09_DECISIONES_ARQUITECTONICAS.md","🚧 Bloqueado por terceros","EXTERNO,BLOQUEANTE","2026-08-03","DP"
"[EXT] RESOLVER: la regla de calificacion 50+50+5 suma 105 por ciento","Inconsistencia aritmetica en una regla marcada como confirmada. Bloquea el Sprint 3. Enviar ADR-007 Opcion A ya redactada para aprobacion.","🚧 Bloqueado por terceros","EXTERNO,BLOQUEANTE","2026-08-07","CA"
"[EXT] Entregar catalogo de los 13 modulos","Nombre, orden, duracion en semanas y cuales estan homologados por INCES.","🚧 Bloqueado por terceros","EXTERNO,DATOS","2026-08-07","CA"
"[EXT] Digitalizar las 52 Guias de Aprendizaje - DEPENDENCIA NUMERO 1","Transcribir sub-competencias por modulo y semana en la plantilla entregada. Es transcripcion, no diseno. Sin esto la app se entrega vacia.","🚧 Bloqueado por terceros","EXTERNO,DATOS,BLOQUEANTE","2026-08-14","CA"
"[EXT] Politica de privacidad, terminos y formato de consentimiento","Requisito LOPNNA y requisito tecnico para instalar la PWA y pedir camara. Incluye periodo de conservacion de datos.","🚧 Bloqueado por terceros","EXTERNO,LEGAL/LOPNNA,BLOQUEANTE","2026-08-14","LEG"
"[EXT] Designar dispositivo escaner por aula y quien lo opera","Decision operativa derivada de ADR-005. Al menos un telefono o tablet por aula/taller.","🚧 Bloqueado por terceros","EXTERNO","2026-08-15","ADM"
"[EXT] Entregar datos de profesores y de la cohorte piloto","Nombres, cedulas, correos y especialidades. 5-10 profesores y 20-30 estudiantes.","🚧 Bloqueado por terceros","EXTERNO,DATOS","2026-08-10","ADM"
"[EXT] Entregar matricula completa para migracion a produccion","Los ~100 estudiantes activos con su cohorte asignada.","🚧 Bloqueado por terceros","EXTERNO,DATOS","2026-09-02","ADM"
"[EXT] Fijar fecha de corte de publicacion de contenido en Classroom","Consecuencia de ADR-004. A partir de esa fecha el contenido nuevo va solo a ZR App.","🚧 Bloqueado por terceros","EXTERNO","2026-08-20","DP"
"[S0] Crear repositorio Git con la estructura acordada","Estructura definida en 11_ paso 3.1. Repositorio privado. HECHO CUANDO: la estructura de carpetas existe en main.","📋 Backlog Fase 1","INFRA/CI","2026-08-02","T1"
"[S0] Crear proyectos Supabase zr-dev y zr-prod separados","Nunca desarrollar contra produccion. HECHO CUANDO: existen dos bases independientes con credenciales distintas.","📋 Backlog Fase 1","INFRA/CI","2026-08-02","T1"
"[S0] Conectar Vercel: main a produccion y ramas a vista previa","Variables de entorno configuradas. La clave service_role solo del lado servidor.","📋 Backlog Fase 1","INFRA/CI,SEGURIDAD/RLS","2026-08-02","T1"
"[S0] Registrar dominio y verificar HTTPS","HTTPS es requisito para acceder a la camara y para instalar la PWA. HECHO CUANDO: una pagina vacia carga por HTTPS en el dominio real.","📋 Backlog Fase 1","INFRA/CI","2026-08-02","T1"
"[S0] Migraciones 001-004: extensiones, identidad, estructura academica, inscripciones","Segun 10_ESQUEMA_BASE_DATOS_V2.md seccion 8. Incluye funcion age_years y vista v_students.","📋 Backlog Fase 1","BACKEND","2026-08-02","T1"
"[S0] Migraciones 005-008: asistencia, examenes, contenido, configuracion y auditoria","Incluye system_config, audit_log con disparadores y restricciones de inmutabilidad.","📋 Backlog Fase 1","BACKEND","2026-08-02","T1"
"[S0] Migracion 009: TODAS las politicas de RLS de la matriz","Matriz completa en 10_ seccion 7. Ninguna tabla queda sin politica. Es el hallazgo mas grave de la auditoria.","📋 Backlog Fase 1","SEGURIDAD/RLS,BLOQUEANTE","2026-08-02","T1"
"[S0] Migraciones 010-011: consentimientos parentales y semilla de system_config","Incluye el disparador que bloquea el onboarding de menores sin consentimiento.","📋 Backlog Fase 1","BACKEND,LEGAL/LOPNNA","2026-08-02","T1"
"[S0] Pruebas de acceso cruzado: estudiante A no lee datos de estudiante B","Para cada tabla sensible. Estas pruebas bloquean el despliegue en CI. Sin excepciones.","📋 Backlog Fase 1","SEGURIDAD/RLS,QA/PRUEBA,BLOQUEANTE","2026-08-02","T1"
"[S0] Generar conjunto completo de datos ficticios","1 programa, 13 modulos, 3 cohortes, 20 guias, 5 profesores, 30 estudiantes (10 menores), 4 sesiones. Permite construir sin esperar a la academia.","📋 Backlog Fase 1","DATOS","2026-08-02","IA"
"[S0] Verificar que las migraciones reconstruyen la base desde cero dos veces","HECHO CUANDO: supabase db reset funciona limpio dos veces seguidas y las pruebas RLS pasan.","📋 Backlog Fase 1","QA/PRUEBA","2026-08-02","T1"
"[S0] GitHub Actions: tipos, linter, pruebas; RLS bloquea el despliegue","HECHO CUANDO: un pull request ejecuta la comprobacion completa y bloquea la fusion si falla.","📋 Backlog Fase 1","INFRA/CI","2026-08-02","T1"
"[S0] Activar respaldos diarios y EJECUTAR una restauracion de prueba","Un respaldo que nunca se restauro no es un respaldo. HECHO CUANDO: existe evidencia escrita de una restauracion exitosa con su duracion.","📋 Backlog Fase 1","INFRA/CI,BLOQUEANTE","2026-08-02","T1"
"[S0] Documentar operacion: como restaurar, cuanto se pierde, cuanto tarda","docs/OPERACION.md. Objetivo: perdida maxima 24 h, retorno a operacion maximo 4 h.","📋 Backlog Fase 1","INFRA/CI","2026-08-02","T1"
"[S0] SABADO 01/08 - Medir linea base de pase de lista y calificacion","Cronometrar minutos reales y cuantas personas intervienen. Sin esto el criterio de salida de Fase 1 es inevaluable.","📋 Backlog Fase 1","QA/PRUEBA,EXTERNO,BLOQUEANTE","2026-08-01","T1,T2,DP"
"[S0] SABADO 01/08 - Probar senal en cada taller y aula","Documentar que espacios sirven para aplicar examenes (ADR-006).","📋 Backlog Fase 1","QA/PRUEBA","2026-08-01","T1"
"[S0] SABADO 01/08 - Censar cohortes reales","Cuantos grupos activos, que modulo cursa cada uno, que profesor, que espacio, cuantos estudiantes. Este dato no existe en ningun documento y es estructural.","📋 Backlog Fase 1","DATOS,BLOQUEANTE","2026-08-01","DP"
"[S0] SABADO 01/08 - Fotografiar guias de 2 modulos completos","Permite empezar a digitalizar sin esperar la entrega formal de Coordinacion Academica.","📋 Backlog Fase 1","DATOS","2026-08-01","T2"
"[S0] SABADO 01/08 - Inventariar telefonos escaner y probar la camara","Probar getUserMedia en cada modelo real que tiene la academia. En teoria funciona; hay que verlo.","📋 Backlog Fase 1","QA/PRUEBA","2026-08-01","T2"
"[S0] SABADO 01/08 - Entrevistar a un profesor y a una persona de administracion","15 minutos cada uno. Que les molesta hoy, en sus palabras.","📋 Backlog Fase 1","EXTERNO","2026-08-01","DP"
"[S1] Registro e inicio de sesion con cedula","Cedula mapeada a correo sintetico interno (ADR-001). Objetivo: menos de 60 s para un mayor de edad.","📋 Backlog Fase 1","FRONTEND,BACKEND","2026-08-09","T2"
"[S1] Correo de contacto obligatorio; para menores el del representante","Resuelve el canal de recuperacion y crea el vinculo LOPNNA verificable con el representante legal.","📋 Backlog Fase 1","FRONTEND,LEGAL/LOPNNA","2026-08-09","T2"
"[S1] Recuperacion de contrasena por correo de contacto","Un menor no puede recuperar su contrasena sin pasar por el correo de su representante. Friccion deliberada.","📋 Backlog Fase 1","BACKEND","2026-08-09","T2"
"[S1] Bifurcacion por edad en el registro","Menor de 18 va a consentimiento parental obligatorio; mayor de edad salta directo.","📋 Backlog Fase 1","FRONTEND,LEGAL/LOPNNA","2026-08-09","T2"
"[S1] Captura de consentimiento parental con carga de documento firmado","Datos del representante, metodo fisico o digital, carga a bucket privado. Requisito legal no recortable.","📋 Backlog Fase 1","FRONTEND,LEGAL/LOPNNA,BLOQUEANTE","2026-08-09","T2,T1"
"[S1] Bloqueo por consentimiento faltante con disparador y RLS","Sin consentimiento no hay acceso a contenido ni examenes. Verificado por prueba automatizada, no solo por UI.","📋 Backlog Fase 1","SEGURIDAD/RLS,LEGAL/LOPNNA,BLOQUEANTE","2026-08-09","T1"
"[S1] Aprovisionamiento del secreto QR via Edge Function","Se entrega una sola vez al completar el onboarding. Nunca legible por la API publica.","📋 Backlog Fase 1","BACKEND,SEGURIDAD/RLS","2026-08-09","T1"
"[S1] Carnet digital con QR rotatorio de 30 s funcional sin conexion","Nombre, foto, cedula, programa, cohorte, modulo actual, historial de modulos aprobados.","📋 Backlog Fase 1","FRONTEND","2026-08-09","T2"
"[S1] Esqueleto PWA: manifiesto, service worker, iconos, instalable","Probado en Android y iOS reales, no solo en vista movil de escritorio.","📋 Backlog Fase 1","FRONTEND,INFRA/CI","2026-08-09","T2"
"[S1] Panel admin: alta individual y carga masiva de estudiantes por CSV","Incluye asignacion a cohorte.","📋 Backlog Fase 1","FRONTEND","2026-08-09","T2"
"[S1] Panel admin: cola de verificacion de consentimientos fisicos","Quien valido el documento y cuando queda registrado.","📋 Backlog Fase 1","FRONTEND,LEGAL/LOPNNA","2026-08-09","T2"
"[S1] SABADO 08/08 - Registrar 5 estudiantes reales, 2 de ellos menores","Cronometrar. Anotar cada punto donde alguien duda. CRITERIO: los 5 se registran sin ayuda tecnica y ven su carnet.","📋 Backlog Fase 1","QA/PRUEBA,BLOQUEANTE","2026-08-08","T1,T2"
"[S2] Gestion de sesiones: crear, abrir, cerrar, reprogramar","Por cohorte. La reprogramacion es un requisito explicito de 00_ seccion 3.4.","📋 Backlog Fase 1","FRONTEND,BACKEND","2026-08-16","T2"
"[S2] Vista de escaner del profesor con camara y retroalimentacion grande","Verde con nombre o rojo con motivo. Usable de pie, con guantes, con una sola mano.","📋 Backlog Fase 1","FRONTEND,BLOQUEANTE","2026-08-16","T2"
"[S2] Edge Function de validacion del codigo QR","Ventana de 30 s con tolerancia de desfase, sesion abierta, estudiante en la cohorte, sin duplicado. Nunca valida en el cliente.","📋 Backlog Fase 1","BACKEND,SEGURIDAD/RLS,BLOQUEANTE","2026-08-16","T1"
"[S2] Cola sin conexion con IndexedDB y sincronizacion idempotente","Contador visible de pendientes. Clave unica por sesion y estudiante. Marca de tiempo original, no la de sincronizacion.","📋 Backlog Fase 1","FRONTEND,BLOQUEANTE","2026-08-16","T2"
"[S2] Respaldo manual por cedula con motivo obligatorio y auditoria","Todo registro manual queda marcado con quien lo hizo y cuando.","📋 Backlog Fase 1","FRONTEND","2026-08-16","T2"
"[S2] Marcado de entrega de refrigerio sobre el mismo escaneo","Segundo escaneo del dia marca snack_claimed_at. Rechaza el tercer intento. Sin tabla ni hardware aparte.","📋 Backlog Fase 1","BACKEND","2026-08-16","T2"
"[S2] Vista de asistencia del estudiante","Historial propio de sabados asistidos por modulo.","📋 Backlog Fase 1","FRONTEND","2026-08-16","T2"
"[S2] Reportes de asistencia exportables a CSV","Por cohorte, por sesion y por estudiante.","📋 Backlog Fase 1","FRONTEND","2026-08-16","T2"
"[S2] Panel admin: cohortes, profesores y avance de modulo","Crear cohortes, asignar profesor, avanzar de modulo.","📋 Backlog Fase 1","FRONTEND","2026-08-16","T2"
"[S2] Prueba de carga: 100 escaneos en 10 minutos","Contra zr-dev, simulando el pico real de un sabado.","📋 Backlog Fase 1","QA/PRUEBA","2026-08-16","T1"
